#site     lx      ly     state1     state2   OParams_[site][state1][state2].real()       OParams_[site][state1][state2].imag()
11             11              0              0              2    -0.00187982       0.234137
11             11              0              0              3      0.0428543       0.199795
11             11              0              0              4    -0.00943932     -0.0569944
11             11              0              0              5       0.228814     -0.0499992
11             11              0              1              1       0.515919              0
11             11              0              1              2    0.000226816      0.0419396
11             11              0              1              3    -0.00927627     -0.0570338
11             11              0              1              4       0.109985       0.471322
11             11              0              1              5      0.0419928    -0.00497778
11             11              0              2              2       0.688842              0
11             11              0              2              3      -0.228753      0.0502636
11             11              0              2              4     -0.0419617     0.00516549
11             11              0              2              5      0.0692392       0.303174
11             11              0              3              3        0.79524              0
11             11              0              3              4      0.0576165    -0.00658715
11             11              0              3              5     0.00160922       0.234136
11             11              0              4              4       0.515919              0
11             11              0              4              5   -0.000416584      0.0419371
11             11              0              5              5        0.68884              0
12             12              0              0              0       0.506873              0
12             12              0              0              1      0.0266482     0.00680039
12             12              0              0              2    0.000733477     -0.0166325
12             12              0              0              3       0.464713       0.164696
12             12              0              0              4     -0.0263882    -0.00532439
12             12              0              0              5    -0.00186833      0.0170908
12             12              0              1              1       0.804932              0
12             12              0              1              2    -0.00152784      -0.237104
12             12              0              1              3      -0.026586    -0.00476112
12             12              0              1              4       0.184274      0.0626471
12             12              0              1              5     -0.0763363       0.224576
12             12              0              2              2        0.68819              0
12             12              0              2              3     0.00139467     -0.0172465
12             12              0              2              4      0.0759709      -0.224707
12             12              0              2              5       0.294045       0.103202
12             12              0              3              3       0.506873              0
12             12              0              3              4      0.0266489    -0.00620352
12             12              0              3              5   -0.000235185     -0.0166361
12             12              0              4              4       0.804937              0
12             12              0              4              5     0.00191586      -0.237113
12             12              0              5              5       0.688196              0
13             13              0              0              0       0.797863              0
13             13              0              0              1      0.0500383      0.0063021
13             13              0              0              2    -0.00182202        0.23522
13             13              0              0              3      0.0484553       0.195813
13             13              0              0              4    -0.00927436     -0.0493367
13             13              0              0              5        0.22825     -0.0571558
13             13              0              1              1       0.513103              0
13             13              0              1              2    0.000190552      0.0356735
13             13              0              1              3    -0.00890013     -0.0494365
13             13              0              1              4       0.124896        0.47051
13             13              0              1              5      0.0357637    -0.00465541
13             13              0              2              2       0.689039              0
13             13              0              2              3      -0.228198      0.0573416
13             13              0              2              4     -0.0356812     0.00498652
13             13              0              2              5      0.0783949       0.300736
13             13              0              3              3        0.79786              0
13             13              0              3              4       0.050042    -0.00668915
13             13              0              3              5     0.00162968       0.235214
13             13              0              4              4       0.513103              0
13             13              0              4              5   -0.000531554      0.0356714
13             13              0              5              5       0.689035              0
14             14              0              0              0        0.50812              0
14             14              0              0              1      0.0348181     0.00673906
14             14              0              0              2    0.000515162     -0.0228433
14             14              0              0              3       0.466943       0.154276
14             14              0              0              4     -0.0343099    -0.00717063
14             14              0              0              5    -0.00337887      0.0230616
