#site_i   site_i(x)    site_i(y)    site_j   site_j(x)    site_j(y)     SS[site_i][site_j]     LL[site_i][site_j]     JeffJeff[site_i][site_j]     MM[site_i][site_j]
11             11              0              6              6              0       0.554696      -0.198319     0.00874912        2.71572
11             11              0              7              7              0       0.998497       0.904423       0.155837        8.39258
11             11              0              8              8              0       0.550094       -0.20313     0.00959992        2.67198
11             11              0              9              9              0       0.998526       0.904387       0.155988        8.39234
11             11              0             10             10              0       0.541791      -0.228327     -0.0171316        2.60003
11             11              0             11             11              0        2.00564        1.97324        2.21118        13.5312
11             11              0             12             12              0       0.539159      -0.231606     -0.0165565        2.57325
11             11              0             13             13              0       0.998545       0.904945       0.155658        8.39479
11             11              0             14             14              0       0.552888      -0.210851      0.0114664        2.66185
11             11              0             15             15              0       0.981271       0.936233      0.0793332        8.53766
12             12              0              0              0              0       0.984271       0.935885      0.0791977        8.55489
12             12              0              1              1              0       0.538663      -0.225714      0.0142155        2.52641
12             12              0              2              2              0       0.998385       0.904784       0.155554        8.39355
12             12              0              3              3              0       0.525601      -0.227973       0.014069        2.44155
12             12              0              4              4              0       0.998379       0.904212       0.155987        8.39093
12             12              0              5              5              0       0.527922       -0.22562      0.0136193        2.46343
12             12              0              6              6              0       0.998449        0.90431       0.155945        8.39173
12             12              0              7              7              0       0.531763      -0.221496      0.0129032        2.50029
12             12              0              8              8              0       0.998519       0.904379       0.155927         8.3924
12             12              0              9              9              0       0.537395      -0.216127      0.0119318        2.55213
12             12              0             10             10              0       0.998533        0.90451       0.155587        8.39356
12             12              0             11             11              0       0.539159      -0.231606     -0.0165565        2.57325
12             12              0             12             12              0        2.00564        1.97325        2.21086        13.5319
12             12              0             13             13              0         0.5403      -0.229468     -0.0170313        2.58746
12             12              0             14             14              0       0.998351       0.900274       0.160671        8.36959
12             12              0             15             15              0       0.375998      -0.205326     0.00882097        1.62237
13             13              0              0              0              0       0.392799      -0.187756     0.00723228        1.77906
13             13              0              1              1              0       0.998464        0.90058       0.160559        8.37141
13             13              0              2              2              0       0.559139      -0.191854     0.00734793        2.76458
13             13              0              3              3              0       0.998363       0.904774       0.155437        8.39362
13             13              0              4              4              0       0.559162       -0.19276     0.00764319         2.7614
13             13              0              5              5              0       0.998416       0.904889       0.155459        8.39424
13             13              0              6              6              0       0.555825      -0.196201     0.00824664        2.72985
13             13              0              7              7              0       0.998486        0.90496       0.155409        8.39498
13             13              0              8              8              0       0.551228      -0.201016     0.00909915        2.68612
13             13              0              9              9              0       0.998553       0.904935       0.155634        8.39485
13             13              0             10             10              0       0.545575      -0.206356       0.010069        2.63425
13             13              0             11             11              0       0.998545       0.904945       0.155658        8.39479
13             13              0             12             12              0         0.5403      -0.229468     -0.0170313        2.58746
13             13              0             13             13              0        2.00569        1.97308        2.20923        13.5349
13             13              0             14             14              0       0.551327      -0.228923      -0.017206         2.6556
13             13              0             15             15              0       0.980996       0.936863      0.0790498        8.53847
14             14              0              0              0              0       0.981824       0.931591      0.0816695        8.52238
14             14              0              1              1              0       0.549778      -0.224768        0.01464        2.59508
14             14              0              2              2              0       0.998458       0.900633        0.16041        8.37182
14             14              0              3              3              0       0.536829      -0.227018      0.0144895        2.51094
14             14              0              4              4              0       0.998452       0.900064       0.160856        8.36919
14             14              0              5              5              0        0.53913      -0.224676      0.0140258         2.5327
14             14              0              6              6              0       0.998468       0.900162       0.160813        8.36967
14             14              0              7              7              0       0.542939      -0.220571      0.0132873        2.56935
14             14              0              8              8              0       0.998464       0.900231       0.160794        8.36989
14             14              0              9              9              0       0.548523      -0.215224      0.0122894        2.62089
14             14              0             10             10              0       0.998418       0.900359       0.160517        8.37055
14             14              0             11             11              0       0.552888      -0.210851      0.0114664        2.66185
14             14              0             12             12              0       0.998351       0.900274       0.160671        8.36959
14             14              0             13             13              0       0.551327      -0.228923      -0.017206         2.6556
14             14              0             14             14              0        2.00506        1.97496         2.2293        13.4967
14             14              0             15             15              0       0.386141      -0.221778      -0.014561        1.68063
15             15              0              0              0              0       0.213428      -0.182203     0.00541242       0.723134
15             15              0              1              1              0       0.981851       0.931518      0.0818536        8.52195
15             15              0              2              2              0       0.393924      -0.186876     0.00714819        1.78862
15             15              0              3              3              0       0.984663       0.935839      0.0792491          8.557
15             15              0              4              4              0        0.39395      -0.187823     0.00730764        1.78562
15             15              0              5              5              0       0.984202       0.935991      0.0792507        8.55468
15             15              0              6              6              0        0.39025      -0.191393     0.00761319         1.7521
15             15              0              7              7              0        0.98342        0.93612      0.0792093        8.55046
15             15              0              8              8              0       0.385159      -0.196389     0.00804574         1.7057
15             15              0              9              9              0       0.982233       0.936166      0.0793024        8.54329
15             15              0             10             10              0       0.378909      -0.201926     0.00853429        1.65061
15             15              0             11             11              0       0.981271       0.936233      0.0793332        8.53766
15             15              0             12             12              0       0.375998      -0.205326     0.00882097        1.62237
15             15              0             13             13              0       0.980996       0.936863      0.0790498        8.53847
15             15              0             14             14              0       0.386141      -0.221778      -0.014561        1.68063
15             15              0             15             15              0         2.0022         1.9882        2.03519        13.9074
